lambda_delay,lambda_migration,lambda_resource,lambda_balance,migrate_threshold,cooldown_steps,max_candidates,d_max,queue_penalty_coeff,sensitivity_coeff,migration_state_coeff,migration_hops_coeff,migration_norm_factor,resource_tension_max,allocation_failure_penalty,mean_cost_margin_vs_nearest,mean_failed_gap_vs_nearest,mean_delay_gap_vs_nearest
0.27450980392156865,0.21568627450980393,0.3529411764705882,0.1568627450980392,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.454711219240949,-0.11250000000000004,0.028964979703751226
0.28571428571428575,0.22448979591836735,0.3673469387755102,0.12244897959183673,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.451520263208522,-0.11250000000000004,0.012186937807214804
0.26666666666666666,0.24444444444444444,0.35555555555555557,0.13333333333333333,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.445937313307667,-0.11250000000000004,0.04142783511603554
0.27906976744186046,0.20930232558139533,0.37209302325581395,0.13953488372093023,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.441584368793656,-0.11250000000000004,0.028964979703751226
0.27450980392156865,0.21568627450980393,0.3137254901960784,0.19607843137254902,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.44004321970354,-0.11250000000000004,0.028964979703751226
0.27450980392156865,0.21568627450980393,0.3137254901960784,0.19607843137254902,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.44004321970354,-0.11250000000000004,0.028964979703751226
0.26666666666666666,0.24444444444444444,0.3111111111111111,0.17777777777777778,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.43141337964795,-0.11250000000000004,0.04142783511603554
0.27906976744186046,0.20930232558139533,0.32558139534883723,0.18604651162790697,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.4241874391098,-0.11250000000000004,0.028964979703751226
0.2807017543859649,0.22807017543859648,0.31578947368421045,0.17543859649122806,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.41155253430955,-0.11250000000000004,0.028964979703751226
0.27906976744186046,0.20930232558139533,0.37209302325581395,0.13953488372093023,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.40901077706502,-0.11250000000000004,0.03847503610684555
